title,date,victim,malware_names,threat,impacts,location,data_source_link_url
Big Ripple Effects after AI-driven Supply Chain Software Supplier Blue Yonder Cyberattack,11/21/2024,"Starbucks Corporation, Sainsbury, Morrisons, Blue Yonder",,,,"Canada, Europe, Global, Japan, Mexico, Portugal, United Kingdom, United States",https://icsstrive.com/incident/big-ripple-effects-after-supply-chain-software-supplier-blue-yonder-cyberattack/
AI Platform for Learning and Work Automation Loses $250K in Cyber Incident,11/18/2024,iLearningEngines,,,IT,United States,https://icsstrive.com/incident/ai-platform-for-learning-and-work-automation-loses-250k-in-cyber-incident/
"Digital Energy Provider, Tibber Data Leaked Online",11/11/2024,Tibber,,,IT,Germany,https://icsstrive.com/incident/digital-energy-provider-tibber-data-leaked-online/
Operations Disrupted at US Branch of Grocery Giant Ahold Delhaize,11/06/2024,Ahold Delhaize,,,,"Belgium, Netherlands, United States",https://icsstrive.com/incident/operations-disrupted-at-us-branch-of-grocery-giant-ahold-delhaize/
Ransomware Attack at Schneider Electric,11/03/2024,Schneider Electric SE,,,IT,France,https://icsstrive.com/incident/ransomware-attack-at-schneider-electric/
Georgia Hospital Under Cyberattack Unable to Access Record System,11/03/2024,"Memorial Hospital and Manor, GA",,Embargo Ransomware Gang,IT,United States,https://icsstrive.com/incident/georgia-hospital-under-cyberattack-unable-to-access-record-system/
Tracking in Prison Vans and Courier Vehicles Affected by Microlise Cyberattack,10/31/2024,Microlise,,,,United Kingdom,https://icsstrive.com/incident/tracking-in-prison-vans-and-courier-vehicles-affected-by-microlise-cyberattack/
Alleged Ransomware Attack Australian Steel Fabricator Meshworks,10/30/2024,Meshworks,,Sarcoma Group,IT,Australia,https://icsstrive.com/incident/alleged-ransomware-attack-australian-steel-fabricator-meshworks/
Disruptions at Texas Key Oil Field Supplier due to Ransomware Attack,10/29/2024,Newpark Resources,,,OT IT,United States,https://icsstrive.com/incident/disruptions-at-texas-key-oil-field-supplier-due-to-ransomware-attack/
Ransomware Attack Threatens Disrupting Medicine Supply to Pharmacies in Germany,10/28/2024,AEP GmbH,,,OT IT,Germany,https://icsstrive.com/incident/ransomware-attack-threatens-disrupting-medicine-supply-to-pharmacies-in-germany/
Large French Telecom Co. Hit by Cyberattack,10/26/2024,Free,,,IT  Privacy,France,https://icsstrive.com/incident/large-french-telecom-co-hit-by-cyberattack/
Paul White Company Tile Firm Hit in Cyberattack,10/12/2024,Paul White Company,,,IT,United States,https://icsstrive.com/incident/paul-white-company-tile-firm-hit-in-cyberattack/
Volkswagen Seems Unconcerned after Ransomware Attack,10/11/2024,Volkswagen,,8Base Ransomware Group,IT  Privacy,Germany,https://icsstrive.com/incident/volkswagen-seems-unconcerned-after-ransomware-attack/
Cyberattack at German Printing Ink Manufacturer Hubergroup,10/11/2024,Hubergroup,,,,Germany,https://icsstrive.com/incident/cyberattack-at-german-printing-ink-manufacturer-hubergroup/
Nordic Utility Fortum Reports Daily Cyberattacks are Unsuccessful.,10/10/2024,Fortum,,,IT,"Finland, Sweden",https://icsstrive.com/incident/nordic-utility-fortum-reports-daily-cyberattacks-are-unsuccessful/
Australian Perfection Fresh Confirms Ransomware Attack,10/10/2024,Perfection Fresh,,Sarcoma Group,IT  Privacy,Australia,https://icsstrive.com/incident/australian-perfection-fresh-confirms-ransomware-attack/
The Plastic Bag Company Confirms Cybersecurity Incident,10/10/2024,The Plastic Bag Company,,Sarcoma Group,IT  Privacy,Australia,https://icsstrive.com/incident/the-plastic-bag-company-confirms-cybersecurity-incident/
Japanese Technology Giant Casio Computer confirmed Cyberattack,10/05/2024,Casio,,,IT  Privacy,Japan,https://icsstrive.com/incident/japanese-technology-giant-casio-computer-confirmed-cyberattack/
China-Linked Cyberattacks Penetrated U.S. Wiretap Systems,10/05/2024,"Verizon Communications Inc., T-Mobile, Lumen Technologies, AT&T",,,IT  Privacy,United States,https://icsstrive.com/incident/china-linked-cyberattacks-penetrated-u-s-wiretap-systems/
"Largest US Water Utility Suffers Significant Cyberattack, says Operations Not Impacted.",10/03/2024,American Water,,,IT,United States,https://icsstrive.com/incident/largest-us-water-utility-suffers-significant-cyberattack-says-operations-not-impacted/
"Physical Security Giant, ADT, Suffers Attack, Again",10/02/2024,ADT Inc.,,,IT,United States,https://icsstrive.com/incident/physical-security-giant-adt-suffers-attack-again/
Systems and Phones Down at Idaho Weiser Memorial Hospital,10/02/2024,Weiser Memorial Hospital,,Embargo Ransomware Gang,,United States,https://icsstrive.com/incident/systems-and-phones-down-at-idaho-weiser-memorial-hospital/
Covenant Medical Center Diverted Ambulance Traffic,09/26/2024,Covenant Medical Center,,,,United States,https://icsstrive.com/incident/covenant-medical-center-diverted-ambulance-traffic/
Hackers Access Managing Director Email Account at German Municipal Utility Co,09/26/2024,Schaumburg-Lippe,Phishing Attack,,IT,Germany,https://icsstrive.com/incident/hackers-access-managing-director-email-account-at-german-municipal-utility-co/
"Rogers Foam, a Custom Foam Manufacturer, Hit In Cyberattack",09/23/2024,Rogers Foam Corporation,,,IT,United States,https://icsstrive.com/incident/rogers-foam-a-custom-foam-manufacturer-hit-in-cyberattack/
German Steel Manufacturer Shuts Down Systems and Cancels Annual Shareholder Meeting,09/22/2024,Schumag Aktiengesellschaft,,,,Germany,https://icsstrive.com/incident/german-steel-manufacturer-shuts-down-systems-and-cancels-annual-shareholder-meeting/
Ransomware Possibly Involved in Cybersecurity Incident at Arkansas City Water Treatment Facility,09/22/2024,Arkansas City water treatment plant,,,,"Canada, Europe, Global, Japan, Mexico, Portugal, United Kingdom of Britain & Northern Ireland, United States",https://icsstrive.com/incident/ransomware-possibly-involved-in-cybersecurity-incident-at-arkansas-city-water-treatment-facility/
Production at Standstill at Italian High-end Home Appliances Manufacturer,09/12/2024,Smeg,,,,Italy,https://icsstrive.com/incident/production-at-standstill-at-italian-high-end-home-appliances-manufacturer/
Pallet Logistics of America Hit In Cyberattack,09/06/2024,Pallet Logistics of America (PLA),,,IT,United States,https://icsstrive.com/incident/pallet-logistics-of-america-hit-in-cyberattack/
Data Breached at Pallet Logistics of America (PLA),09/06/2024,Pallet Logistics of America (PLA),,,IT  Privacy,United States,https://icsstrive.com/incident/data-breached-at-pallet-logistics-of-america-pla/
Ransomware Attack at Motorcycle Manufacturer Kawasaki Motors Europe,09/03/2024,Kawasaki Motors Europe,,RansomHub RaaS,OT IT,,https://icsstrive.com/incident/ransomware-attack-at-motorcycle-manufacturer-kawasaki-motors-europe/
Data Breach at French Telecommunications Operator SFR,09/03/2024,SFR Telecommunications,,,IT  Privacy,"France, Guam, Guyana, Ireland, Lithuania, Poland, Russian Federation, The Philippines, Venezuela",https://icsstrive.com/incident/data-breach-at-french-telecommunications-operator-sfr/
Systems Breached at Transport for London (TfL) HQ,09/02/2024,Transport for London (TfL),,Scattered Spider,IT,United Kingdom,https://icsstrive.com/incident/systems-breached-at-transport-for-london-tfl-hq/
German Air Traffic Control (DFS) Suffers Cyberattack,09/01/2024,German Air Traffic Control (DFS),,APT28,IT,Germany,https://icsstrive.com/incident/german-air-traffic-control-dfs-suffers-cyberattack/
"Control Room Provider, Activu, Hit In Cyberattack",08/30/2024,Activu Corporation,,,IT,United States,https://icsstrive.com/incident/control-room-provider-activu-hit-in-cyberattack/
"NY Curtain Maker, S. Lichtenberg & Co., Suffers Cyberattack",08/30/2024,"S. Lichtenberg & Co., Inc.",,,IT,United States,https://icsstrive.com/incident/ny-curtain-maker-s-lichtenberg-co-suffers-cyberattack/
Blackinton Manufacturer Suffers Databreach,08/30/2024,Blackinton,,,IT  Privacy,United States,https://icsstrive.com/incident/blackinton-manufacturer-suffers-databreach/
German air traffic control (DFS) Operations Unaffected After Cyberattack,08/29/2024,Deutsche Flugsicherung (DFS),,APT28,IT,Germany,https://icsstrive.com/incident/german-air-traffic-control-dfs-operations-unaffected-after-cyberattack/
Global Freight Forwarder JAS Confirms Malware Disrupts Operations,08/27/2024,JAS Worldwide,,,OT IT,"Italy, United States",https://icsstrive.com/incident/global-freight-forwarder-jas-confirms-malware-disrupts-operations/
"CA Footwear Maker, Phoenix Footwear Group, Hit In Cyberattack",08/26/2024,"Phoenix Footwear Group, Inc.,",,,IT,United States,https://icsstrive.com/incident/ca-footwear-maker-phoenix-footwear-group-hit-in-cyberattack/
German Timing Belt Manufacturer hit by Cyberattack,08/25/2024,Arntz Optibelt Group,,,,Germany,https://icsstrive.com/incident/german-timing-belt-manufacturer-hit-by-cyberattack/
"Cyberattack Disrupts Seattle Airport for Days, affecting Labor Day Weekend Rush",08/24/2024,Port of Seattle,,Rhysida Ransomware Group,OT IT,United States,https://icsstrive.com/incident/cyberattack-disrupts-seattle-airport-for-days-affecting-labor-day-weekend-rush/
